# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "16" "-Q" "0" "-M" "-a" "/mnt/Scripts/SHARE-seq-alignment//gtf/mm10.gencode.gtf" "-t" "gene" "-g" "gene_name" "-o" "example_RNA.mm10.feature.count.txt" "-R" "BAM" "example_RNA.mm10.exon.featureCounts.bam" 
Geneid	Chr	Start	End	Strand	Length	example_RNA.mm10.exon.featureCounts.bam
Rnd3	chr2	51130438	51149111	-	18674	0
Gm28639	chr2	51219382	51219862	+	481	0
Gm13500	chr2	51231987	51232810	+	824	0
Gm13497	chr2	51241831	51295945	+	54115	0
Gm13499	chr2	51363572	51365499	-	1928	0
1700057H21Rik	chr2	51420984	51438785	-	17802	0
Gm23505	chr2	51493653	51493782	-	130	0
Gm13494	chr2	51544975	51546070	+	1096	0
Gm13491	chr2	51604114	51604348	-	235	0
Tas2r134	chr2	51627511	51628408	+	898	0
Gm13490	chr2	51656966	51732009	-	75044	0
Gm13492	chr2	51817905	51818569	-	665	0
Gm13493	chr2	51871126	51871618	-	493	0
Rbm43	chr2	51924448	51935163	-	10716	0
Gm13495	chr2	51938133	51938669	-	537	0
Nmi	chr2	51948487	51973494	-	25008	0
Tnfaip6	chr2	52038009	52056686	+	18678	0
Rif1	chr2	52072832	52122383	+	49552	1
Neb	chr2	52136647	52378474	-	241828	0
Gm22095	chr2	52283077	52283226	+	150	0
Gm13521	chr2	52361630	52362495	-	866	0
Gm13522	chr2	52367063	52390307	+	23245	0
Arl5a	chr2	52397951	52424901	-	26951	1
A430018G15Rik	chr2	52425012	52434885	+	9874	0
Cacnb4	chr2	52428320	52676831	-	248512	8
Gm13541	chr2	52551969	52552251	+	283	0
Bloc1s2-ps	chr2	52619754	52620185	+	432	0
Stam2	chr2	52691664	52742281	-	50618	0
Gm13548	chr2	52739071	52739455	-	385	0
Fmnl2	chr2	52857860	53133804	+	275945	1
Prpf40a	chr2	53134704	53191702	-	56999	0
Arl6ip6	chr2	53191726	53219220	+	27495	0
Gm25898	chr2	53274736	53274841	-	106	0
Gm13501	chr2	53397509	53398487	-	979	0
Gm13503	chr2	53551926	53552371	+	446	0
Gm13502	chr2	53696121	53696804	-	684	0
Gm23315	chr2	53700847	53700955	-	109	0
Rprm	chr2	54084093	54085552	-	1460	0
Gm22298	chr2	54100430	54100562	+	133	0
Gm13505	chr2	54240569	54241385	+	817	0
Gm14035	chr2	54284115	54285589	+	1475	0
Gm14034	chr2	54356341	54356891	-	551	0
Galnt13	chr2	54436317	55118309	+	681993	1
Gm24549	chr2	54565998	54566136	-	139	0
Gm25489	chr2	55003985	55004125	+	141	0
Gm14032	chr2	55292065	55293090	+	1026	0
Gm14033	chr2	55411790	55433435	+	21646	0
Kcnj3	chr2	55435970	55598145	+	162176	7
Gm13517	chr2	55775548	55777042	+	1495	0
Gm13615	chr2	55970695	55972994	-	2300	0
Gm13518	chr2	56039853	56040085	+	233	0
Mir195b	chr2	56785811	56785907	+	97	0
Gm13527	chr2	57079748	57080438	+	691	0
Nr4a2	chr2	57106830	57124003	-	17174	0
BB557941	chr2	57127479	57181754	-	54276	0
4930555B11Rik	chr2	57181831	57188257	+	6427	0
Gm13526	chr2	57214054	57214242	-	189	0
A930012O16Rik	chr2	57236227	57238508	-	2282	0
Gpd2	chr2	57237635	57370719	+	133085	1
Gm13535	chr2	57272564	57275686	-	3123	0
Gm13531	chr2	57425167	57425709	-	543	0
Gm13532	chr2	57628989	57629228	-	240	0
Gm13533	chr2	57643648	57643824	-	177	0
Gm25388	chr2	57653672	57653822	-	151	0
Gm33594	chr2	57982192	57986017	-	3826	0
Galnt5	chr2	57997884	58045860	+	47977	0
Ermn	chr2	58045113	58052864	-	7752	0
Gm13534	chr2	58108060	58108572	+	513	0
Cytip	chr2	58129137	58195532	-	66396	0
Gm13546	chr2	58164001	58177063	+	13063	0
Acvr1c	chr2	58267453	58357895	-	90443	0
Gm13544	chr2	58276779	58286902	+	10124	0
Gm13545	chr2	58338347	58338828	+	482	0
Acvr1	chr2	58388644	58567157	-	178514	0
Gm17409	chr2	58470116	58471077	+	962	0
Upp2	chr2	58567298	58792971	+	225674	0
Gm13558	chr2	58705769	58735396	+	29628	0
Gm13559	chr2	58740639	58741501	+	863	0
Ccdc148	chr2	58821070	59160683	-	339614	3
Gm11099	chr2	58859434	58907618	+	48185	0
Gm13560	chr2	58894040	58894368	+	329	0
Gm13557	chr2	58958675	58959707	-	1033	0
Gm13550	chr2	59148099	59148623	-	525	0
Pkp4	chr2	59160850	59355208	+	194359	1
5330411J11Rik	chr2	59382502	59387471	-	4970	0
Gm13551	chr2	59396488	59396917	+	430	0
Gm13549	chr2	59398986	59399781	-	796	0
Dapl1	chr2	59484653	59505020	+	20368	0
Gm13552	chr2	59564268	59564684	-	417	0
Tanc1	chr2	59612042	59846149	+	234108	0
Wdsub1	chr2	59852364	59882591	-	30228	0
Baz2b	chr2	59899363	60209839	-	310477	0
Gm13574	chr2	59991951	59992344	-	394	0
Gm13572	chr2	60037141	60038837	+	1697	0
Gm13570	chr2	60098406	60098714	-	309	0
Gm13620	chr2	60125096	60125819	+	724	0
Ldha-ps	chr2	60134055	60135049	+	995	0
Marchf7	chr2	60209887	60250676	+	40790	0
Cd302	chr2	60251993	60284488	-	32496	0
Rpl10a-ps4	chr2	60274944	60275574	-	631	0
Ly75	chr2	60292103	60383303	-	91201	0
Gm13571	chr2	60338188	60371234	+	33047	0
Gm13580	chr2	60411525	60412579	+	1055	0
Pla2r1	chr2	60417543	60553308	-	135766	0
Gm13583	chr2	60550757	60553923	+	3167	0
Gm13566	chr2	60577537	60578678	+	1142	0
Gm13567	chr2	60596048	60596294	-	247	0
Itgb6	chr2	60598292	60722643	-	124352	0
Rbms1	chr2	60750193	60963192	-	213000	0
Gm13582	chr2	60964376	60975151	-	10776	0
Gm13579	chr2	61030351	61030970	-	620	0
Gm13581	chr2	61224792	61225082	+	291	0
Gm26422	chr2	61280278	61280409	+	132	0
Gm22338	chr2	61492766	61492894	+	129	0
Tank	chr2	61578585	61654171	+	75587	0
Gm13626	chr2	61706893	61707591	-	699	0
Psmd14	chr2	61711694	61800376	+	88683	0
Gm22403	chr2	61762386	61762469	-	84	0
Gm25966	chr2	61798180	61798296	+	117	0
Tbr1	chr2	61802930	61814114	+	11185	0
Gm13555	chr2	61970354	61970672	-	319	0
Slc4a10	chr2	62046462	62326730	+	280269	2
Dpp4	chr2	62330073	62412231	-	82159	0
Gm13561	chr2	62357071	62470913	+	113843	0
Gm13565	chr2	62436880	62441142	-	4263	0
Gm13564	chr2	62452936	62456648	-	3713	0
Gcg	chr2	62474530	62483650	-	9121	0
Fap	chr2	62500943	62574075	-	73133	1
Ifih1	chr2	62595798	62646255	-	50458	0
Gca	chr2	62664285	62694109	+	29825	0
Gm13590	chr2	62668783	62670370	-	1588	0
Kcnh7	chr2	62693414	63184287	-	490874	12
Gm22020	chr2	62802489	62802624	-	136	0
Gm13569	chr2	62809187	62810698	+	1512	0
AL772407.1	chr2	63410771	63411266	-	496	0
Gm23503	chr2	63432088	63432194	-	107	0
Fign	chr2	63971507	64098038	-	126532	0
Gm13575	chr2	64382602	64393860	-	11259	0
Gm13577	chr2	64474745	64474949	-	205	0
Gm13576	chr2	64569863	64570640	-	778	0
Gm13578	chr2	64867999	64868588	-	590	0
Grb14	chr2	64912476	65024987	-	112512	0
Cobll1	chr2	65088339	65239403	-	151065	1
Gm13594	chr2	65238756	65239675	+	920	0
Gm13592	chr2	65277417	65278426	+	1010	0
Gm13593	chr2	65296178	65297369	-	1192	0
Slc38a11	chr2	65316430	65364034	-	47605	0
Mir6337	chr2	65364296	65364400	-	105	0
Gm24138	chr2	65376169	65376282	-	114	0
Scn3a	chr2	65457118	65567627	-	110510	4
Gm13595	chr2	65509265	65512605	+	3341	0
Scn2a	chr2	65620771	65767447	+	146677	0
BX284648.1	chr2	65761955	65762197	-	243	0
Csrnp3	chr2	65845767	66031546	+	185780	1
Gm13619	chr2	65852408	65860619	-	8212	0
Gm13617	chr2	65944299	65954070	-	9772	0
Galnt3	chr2	66082766	66124994	-	42229	0
Gm28638	chr2	66125317	66175250	+	49934	0
Gm13616	chr2	66145654	66145875	-	222	0
Ttc21b	chr2	66184327	66256617	-	72291	0
Gm13618	chr2	66187836	66192813	+	4978	0
Scn1a	chr2	66270778	66440840	-	170063	3
Gm13630	chr2	66409494	66421588	+	12095	0
Gm13629	chr2	66440880	66546026	+	105147	0
Rpl35-ps1	chr2	66447036	66447407	-	372	0
Scn9a	chr2	66480080	66634962	-	154883	0
Gm13627	chr2	66529414	66530746	-	1333	0
Gm23046	chr2	66602515	66602798	+	284	0
Scn7a	chr2	66673425	66784914	-	111490	0
Gm13600	chr2	66863262	66864775	+	1514	0
Gm13602	chr2	66942558	66943050	+	493	0
Gm13598	chr2	67157646	67194735	-	37090	0
Xirp2	chr2	67173834	67526615	+	352782	0
Gm13599	chr2	67309659	67396491	-	86833	0
Gm21830	chr2	67413725	67433086	+	19362	0
Gm23328	chr2	67420031	67420162	+	132	0
Gm13601	chr2	67491044	67516525	-	25482	0
B3galt1	chr2	67565871	68122689	+	556819	7
Mir7224	chr2	67675457	67675516	+	60	0
Gm26743	chr2	67677031	67687282	-	10252	0
Gm13604	chr2	67707290	67707771	-	482	0
Gm13603	chr2	67765977	67766059	+	83	0
Mir6335	chr2	67781043	67781140	+	98	0
Gm37964	chr2	67898596	67903500	+	4905	0
Gm13607	chr2	68081791	68082329	+	539	0
Stk39	chr2	68210445	68472268	-	261824	3
Gm13596	chr2	68476082	68477752	+	1671	0
Gm26321	chr2	68484143	68484384	+	242	0
Gm13597	chr2	68554555	68554929	+	375	0
Gm49461	chr2	68566442	68574848	+	8407	0
Gm49462	chr2	68566992	68568555	-	1564	0
Gm36002	chr2	68578602	68582260	-	3659	0
4933409G03Rik	chr2	68582413	68616463	+	34051	0
4932414N04Rik	chr2	68656486	68748467	+	91982	0
Gm36231	chr2	68820311	68845252	-	24942	0
Gm13612	chr2	68831017	68831406	+	390	0
Cers6	chr2	68861441	69114282	+	252842	6
Gm37159	chr2	68891366	68894970	+	3605	0
Gm38236	chr2	68906003	68909231	+	3229	0
Gm37651	chr2	68962217	68963710	+	1494	0
Gm37747	chr2	68989381	68993383	+	4003	0
Gm37666	chr2	69013612	69014477	+	866	0
Gm38377	chr2	69018096	69021867	+	3772	0
Nostrin	chr2	69135800	69189330	+	53531	0
Spc25	chr2	69193895	69206194	-	12300	0
G6pc2	chr2	69211073	69227841	+	16769	0
Abcb11	chr2	69238282	69342616	-	104335	0
Gm13613	chr2	69248307	69272491	+	24185	0
Gm13614	chr2	69329739	69330241	+	503	0
Dhrs9	chr2	69380445	69404533	+	24089	0
Lrp2	chr2	69424340	69586065	-	161726	0
Bbs5	chr2	69647171	69667571	+	20401	0
Klhl41	chr2	69670120	69684230	+	14111	0
Fastkd1	chr2	69686815	69713516	-	26702	0
Ppig	chr2	69722545	69754012	+	31468	0
Gm13622	chr2	69737357	69737789	-	433	0
Ccdc173	chr2	69758033	69789575	-	31543	0
Gm13623	chr2	69766182	69766806	+	625	0
Phospho2	chr2	69789623	69800005	+	10383	1
Gm13624	chr2	69799151	69799612	-	462	0
Klhl23	chr2	69821944	69836651	+	14708	0
Ssb	chr2	69861562	69871846	+	10285	0
Mettl5	chr2	69871198	69885615	-	14418	0
Gm13625	chr2	69871412	69872202	-	791	0
Mettl5os	chr2	69885728	69888155	+	2428	0
Ubr3	chr2	69897246	70024013	+	126768	3
Gm13631	chr2	70038911	70042406	+	3496	0
Myo3b	chr2	70039126	70429198	+	390073	0
Rpl9-ps7	chr2	70458982	70459560	+	579	0
Sp5	chr2	70474923	70477729	+	2807	0
Gad1os	chr2	70489940	70563357	-	73418	0
Erich2os	chr2	70503433	70509199	-	5767	0
Erich2	chr2	70508819	70540884	+	32066	0
Gm37026	chr2	70523042	70523767	-	726	0
Gad1	chr2	70553072	70602014	+	48943	0
Gm16510	chr2	70618628	70618876	-	249	0
Gm26558	chr2	70661149	70662109	-	961	0
Gorasp2	chr2	70661576	70712636	+	51061	0
Tlk1	chr2	70712407	70825728	-	113322	2
Gm13633	chr2	70856689	70857586	+	898	0
Gm13632	chr2	70877829	70884408	+	6580	0
Mettl8	chr2	70964561	71055583	-	91023	1
Dcaf17	chr2	71055328	71099142	+	43815	1
Cybrd1	chr2	71117923	71142926	+	25004	0
Dync1i2	chr2	71211706	71263303	+	51598	2
Slc25a12	chr2	71271063	71367749	-	96687	1
Gm13641	chr2	71319783	71320255	+	473	0
Hat1	chr2	71388958	71441622	+	52665	1
Gm13642	chr2	71412537	71412917	-	381	0
Gm23166	chr2	71450514	71450614	-	101	0
Metap1d	chr2	71453276	71525194	+	71919	0
Gm23253	chr2	71495271	71495374	+	104	0
Dlx1as	chr2	71516454	71537891	-	21438	0
Dlx1	chr2	71528113	71533981	+	5869	0
Dlx2	chr2	71543408	71546754	-	3347	1
Platr26	chr2	71719417	71730966	+	11550	0
Gm13647	chr2	71737815	71745397	+	7583	0
Itga6	chr2	71745616	71858416	+	112801	0
Gm13663	chr2	71747507	71750200	+	2694	0
Gm13662	chr2	71749925	71759801	+	9877	0
Gm13739	chr2	71762238	71762767	-	530	0
Pdk1	chr2	71873224	71903858	+	30635	0
Gm13746	chr2	71956053	71957368	+	1316	0
Rapgef4	chr2	71981240	72257474	+	276235	1
Gm26408	chr2	71999666	71999792	-	127	0
Rapgef4os1	chr2	72097603	72148796	-	51194	0
Rapgef4os2	chr2	72224688	72232302	-	7615	0
Rapgef4os3	chr2	72244965	72248975	-	4011	0
Map3k20	chr2	72285637	72442610	+	156974	0
Zakit	chr2	72327687	72327994	+	308	0
Rpl36a-ps4	chr2	72360247	72360542	+	296	0
Cdca7	chr2	72476159	72486893	+	10735	0
Rps13-ps8	chr2	72545212	72545612	+	401	0
Eif1-ps3	chr2	72570481	72570822	-	342	0
Pex13-ps	chr2	72632270	72633426	+	1157	0
Ak3l2-ps	chr2	72633936	72634607	+	672	0
8430437L04Rik	chr2	72703510	72729468	+	25959	0
6430710C18Rik	chr2	72745846	72813717	-	67872	0
Sp3	chr2	72936427	72980446	-	44020	2
Gm25960	chr2	72950863	72950987	-	125	0
Hspe1-ps5	chr2	72955898	72956194	+	297	0
Gm11084	chr2	72971548	72986716	-	15169	0
Sp3os	chr2	72979424	72988677	+	9254	0
Ola1	chr2	73092801	73218924	-	126124	0
Gm13665	chr2	73116748	73117275	+	528	0
Gm13666	chr2	73131745	73132543	+	799	0
Gm13664	chr2	73176611	73176955	+	345	0
Sp9	chr2	73271925	73284706	+	12782	1
Cir1	chr2	73283105	73312701	-	29597	0
Scrn3	chr2	73312601	73337818	+	25218	0
Gpr155	chr2	73341506	73386572	-	45067	0
Gm13703	chr2	73357268	73364333	+	7066	0
Gm13709	chr2	73370909	73379297	+	8389	0
D230022J07Rik	chr2	73386970	73420498	+	33529	0
Gm13707	chr2	73421909	73429142	+	7234	0
Wipf1	chr2	73429610	73529734	-	100125	1
Gm13708	chr2	73459705	73477602	+	17898	0
Chrna1	chr2	73563215	73580338	-	17124	0
Chrna1os	chr2	73584850	73589208	+	4359	0
Chn1os3	chr2	73596526	73616012	+	19487	0
Chn1	chr2	73610660	73775346	-	164687	2
Chn1os1	chr2	73658270	73660263	+	1994	0
Gm13640	chr2	73809162	73809425	+	264	0
Atf2	chr2	73816509	73892639	-	76131	1
Gm27421	chr2	73827665	73827831	-	167	0
Atp5g3	chr2	73908447	73911326	-	2880	1
Gm13668	chr2	73959669	73960669	-	1001	0
A630050E04Rik	chr2	74100924	74102342	-	1419	0
Gm28640	chr2	74130181	74130730	+	550	0
Gm13667	chr2	74135757	74150834	+	15078	0
4930441J16Rik	chr2	74298940	74307717	-	8778	0
Lnpk	chr2	74520291	74579435	-	59145	0
4930445N08Rik	chr2	74579076	74584544	+	5469	0
Mrpl23-ps1	chr2	74591330	74591909	-	580	0
Gm22975	chr2	74624642	74624748	+	107	0
Gm13672	chr2	74631840	74632298	+	459	0
Evx2	chr2	74652991	74659557	-	6567	0
Hoxd13	chr2	74668310	74671599	+	3290	0
Hoxd12	chr2	74675013	74677705	+	2693	0
Hoxd11	chr2	74679557	74687016	+	7460	0
Gm28309	chr2	74683446	74694194	+	10749	0
Hoxd10	chr2	74691924	74695105	+	3182	0
Gm14396	chr2	74695520	74697365	+	1846	0
Gm28793	chr2	74696768	74697586	-	819	0
Hoxd9	chr2	74697727	74700208	+	2482	0
Gm44463	chr2	74701006	74701142	-	137	0
Hoxd3os1	chr2	74703248	74716130	-	12883	0
Hoxd8	chr2	74704615	74707933	+	3319	0
Hoxd3	chr2	74711927	74748442	+	36516	0
Hoxd4	chr2	74711929	74729160	+	17232	0
Mir10b	chr2	74726070	74726137	+	68	0
Gm28230	chr2	74726728	74747918	+	21191	0
Haglr	chr2	74748422	74762896	-	14475	0
Gm14424	chr2	74752684	74753744	+	1061	0
Gm14426	chr2	74754455	74755097	+	643	0
Hoxd1	chr2	74762980	74765142	+	2163	0
Mtx2	chr2	74825803	74878431	+	52629	1
Gm14425	chr2	74855706	74856311	+	606	0
Gm14427	chr2	74886372	74887006	-	635	0
n-R5s198	chr2	74935415	74935514	-	100	0
Gm13652	chr2	75124871	75137798	-	12928	0
2600014E21Rik	chr2	75138843	75317820	+	178978	0
A330043C09Rik	chr2	75147118	75177658	-	30541	0
Rps6-ps4	chr2	75191073	75191822	-	750	0
Gm13653	chr2	75192277	75192759	+	483	0
Gm18494	chr2	75302072	75303225	-	1154	0
Gm37243	chr2	75348111	75348705	-	595	0
Gm13658	chr2	75436057	75444179	+	8123	0
Gm13660	chr2	75458966	75464788	-	5823	0
Gm13655	chr2	75632638	75633382	-	745	0
Gm24574	chr2	75659244	75659317	+	74	0
Hnrnpa3	chr2	75659261	75669407	+	10147	0
Nfe2l2	chr2	75675513	75704641	-	29129	0
Gm24996	chr2	75686740	75686838	-	99	0
E030042O20Rik	chr2	75704770	75710024	+	5255	0
Gm13656	chr2	75729592	75730172	-	581	0
Gm13657	chr2	75777188	75782306	+	5119	0
Gm13669	chr2	75808358	75808814	+	457	0
Gm13670	chr2	75822028	75822793	-	766	0
Agps	chr2	75832177	75931350	+	99174	1
Ttc30b	chr2	75935849	75938585	-	2737	0
Ttc30a2	chr2	75975740	75978170	-	2431	0
Ttc30a1	chr2	75978247	75981967	-	3721	0
Pde11a	chr2	75989141	76338774	-	349634	0
Gm44337	chr2	76318482	76318595	+	114	0
Cyct	chr2	76353942	76360450	-	6509	0
Rbm45	chr2	76369984	76383768	+	13785	0
Osbpl6	chr2	76406508	76600647	+	194140	0
Gm23164	chr2	76479219	76479329	+	111	0
Prkra	chr2	76629898	76648015	-	18118	0
Pjvk	chr2	76648476	76658556	+	10081	0
Fkbp7	chr2	76663044	76673116	-	10073	0
Plekha3	chr2	76675281	76696828	+	21548	0
Ttn	chr2	76703980	76982547	-	278568	0
Gm13938	chr2	76722776	76786708	+	63933	0
Ccdc141	chr2	77009902	77170636	-	160735	0
Gm44360	chr2	77074271	77074352	-	82	0
Sestd1	chr2	77180340	77280592	-	100253	0
Gm13650	chr2	77255991	77256423	-	433	0
Gm13651	chr2	77291331	77292440	+	1110	0
Gm13943	chr2	77314751	77317035	+	2285	0
Gm13649	chr2	77335359	77335964	+	606	0
Zfp385b	chr2	77410634	77819639	-	409006	7
Gm13944	chr2	77462669	77480938	+	18270	0
Gm13661	chr2	77840616	77842936	+	2321	0
Gm13727	chr2	77879753	77881467	-	1715	0
Cwc22	chr2	77881159	77946375	-	65217	0
Gm13726	chr2	77962269	77963062	-	794	0
4930440I19Rik	chr2	78051177	78194430	+	143254	0
Gm14461	chr2	78237547	78302230	+	64684	0
Gm14460	chr2	78512698	78513336	-	639	0
Gm23149	chr2	78550508	78550737	-	230	0
Gm14464	chr2	78597669	78598922	+	1254	0
Gm14463	chr2	78657429	78657926	+	498	0
Gm17014	chr2	78845286	78845453	-	168	0
Ube2e3	chr2	78868124	78921293	+	53170	0
Gm37004	chr2	78972672	79098851	+	126180	0
Gm14466	chr2	79022821	79023271	-	451	0
Gm14469	chr2	79038533	79038734	-	202	0
Gm14465	chr2	79161029	79161595	-	567	0
Itga4	chr2	79255426	79333123	+	77698	0
Cerkl	chr2	79330543	79456785	-	126243	0
Gm22606	chr2	79348365	79348467	+	103	0
Gm13673	chr2	79359865	79360395	+	531	0
Neurod1	chr2	79452521	79456751	-	4231	0
Itprid2	chr2	79635352	79672966	+	37615	0
Ppp1r1c	chr2	79707780	79818496	+	110717	0
Pde1a	chr2	79834453	80129458	-	295006	2
Gm13674	chr2	80131930	80132752	+	823	0
Prdx6b	chr2	80292472	80295356	+	2885	0
Dnajc10	chr2	80315466	80354043	+	38578	0
Gm13752	chr2	80394897	80400525	+	5629	0
Frzb	chr2	80411970	80447625	-	35656	0
Gm13687	chr2	80499230	80499511	+	282	0
Nckap1	chr2	80500512	80581380	-	80869	1
Gm13689	chr2	80549712	80550396	-	685	0
Gm24461	chr2	80558685	80558787	+	103	0
Gm13688	chr2	80602733	80603340	+	608	0
Dusp19	chr2	80617045	80632361	+	15317	0
Nup35	chr2	80617236	80658906	+	41671	0
Mir684-1	chr2	80628705	80628790	-	86	0
Gm13690	chr2	80629284	80629568	-	285	0
Gm25420	chr2	80707589	80707715	+	127	0
Gm4735	chr2	80837141	80838442	+	1302	0
Gm22652	chr2	80850288	80850418	+	131	0
Gm13700	chr2	80861155	80862282	-	1128	0
Gm13755	chr2	80890106	80894441	+	4336	0
Gm13756	chr2	80908741	80909355	-	615	0
Gm23452	chr2	80984083	80984189	-	107	0
Gm23900	chr2	81543235	81543342	-	108	0
Zfp804a	chr2	82053222	82259879	+	206658	0
Gm13677	chr2	82122517	82123111	-	595	0
A130030D18Rik	chr2	82375372	82392202	-	16831	0
Gm13675	chr2	82507216	82507744	+	529	0
Gm13676	chr2	82543932	82544522	-	591	0
Gm13678	chr2	82623213	82623552	+	340	0
Fsip2	chr2	82943634	83008937	+	65304	0
Gm28675	chr2	83100258	83126216	-	25959	0
Gm13680	chr2	83353157	83353949	-	793	0
Gm13679	chr2	83390129	83390612	+	484	0
Gm13682	chr2	83394180	83394881	+	702	0
Gm13681	chr2	83428702	83428911	+	210	0
Gm13683	chr2	83451864	83458559	+	6696	0
Gm13685	chr2	83538535	83538675	-	141	0
Zc3h15	chr2	83644435	83664622	+	20188	0
Gm13686	chr2	83700657	83701116	-	460	0
Itgav	chr2	83724397	83806916	+	82520	0
Gm13684	chr2	83737782	83759865	-	22084	0
Dnmt3l-ps1	chr2	83744484	83745736	-	1253	0
Fam171b	chr2	83812636	83883486	+	70851	1
Zswim2	chr2	83915079	83941228	-	26150	0
Gm13698	chr2	83955693	83958185	+	2493	0
Gm13693	chr2	83961503	83963995	+	2493	0
Gm13695	chr2	83967313	83969805	+	2493	0
Gm13696	chr2	83973123	83975615	+	2493	0
Gm13694	chr2	83978933	83981425	+	2493	0
Gm13697	chr2	83984743	83987235	+	2493	0
Gm13691	chr2	83990553	83993045	+	2493	0
Gm13692	chr2	84034243	84034613	-	371	0
Gm13702	chr2	84144890	84145714	+	825	0
Gm25972	chr2	84150055	84150155	+	101	0
Gm13711	chr2	84317339	84318311	-	973	0
Calcrl	chr2	84330626	84425411	-	94786	0
Tfpi	chr2	84432855	84476775	-	43921	0
Gm13710	chr2	84500760	84531322	-	30563	0
AL928616.2	chr2	84564745	84572537	+	7793	0
AL928616.1	chr2	84576551	84592840	-	16290	0
Ctnnd1	chr2	84600071	84650765	-	50695	0
Gm28635	chr2	84601439	84678041	-	76603	0
Btbd18	chr2	84659079	84668780	+	9702	0
Selenoh	chr2	84669215	84670770	-	1556	0
Tmx2	chr2	84671316	84679140	-	7825	0
Med19	chr2	84678402	84688215	+	9814	0
Zdhhc5	chr2	84687970	84715180	-	27211	1
n-R5s200	chr2	84700748	84700860	-	113	0
Gm27942	chr2	84703262	84703362	+	101	0
Clp1	chr2	84722104	84727350	-	5247	0
Ypel4	chr2	84734058	84738655	+	4598	0
Mir130a	chr2	84741115	84741178	-	64	0
Gm19426	chr2	84742169	84743655	-	1487	0
Serping1	chr2	84765387	84775444	-	10058	0
Ube2l6	chr2	84798828	84810335	+	11508	0
Smtnl1	chr2	84811176	84822652	-	11477	0
Timm10	chr2	84826997	84830213	+	3217	0
Slc43a1	chr2	84838850	84863594	+	24745	0
Rtn4rl2	chr2	84871924	84886710	-	14787	0
Gm24332	chr2	84928074	84928175	+	102	0
Slc43a3	chr2	84936579	84958509	+	21931	0
Prg2	chr2	84980461	84983632	+	3172	0
Prg3	chr2	84988215	84993886	+	5672	0
P2rx3	chr2	84998583	85037462	-	38880	0
Ssrp1	chr2	85037234	85047109	+	9876	0
Tnks1bp1	chr2	85048022	85073048	+	25027	0
4930443O20Rik	chr2	85073614	85086461	-	12848	0
Aplnr	chr2	85136225	85139923	+	3699	0
Gm13712	chr2	85156101	85158642	-	2542	0
Gm13713	chr2	85160778	85193325	+	32548	0
Lrrc55	chr2	85162334	85197197	-	34864	0
Gm13716	chr2	85196932	85198675	+	1744	0
Gm13715	chr2	85233675	85243678	+	10004	0
Gm13714	chr2	85268013	85268233	-	221	0
Olfr987	chr2	85330779	85339315	-	8537	0
Olfr988	chr2	85352428	85363227	-	10800	0
Olfr989-ps1	chr2	85374853	85380487	-	5635	0
Olfr990-ps1	chr2	85388132	85389035	-	904	0
Olfr991-ps1	chr2	85397709	85398616	-	908	0
Olfr992	chr2	85398824	85409469	-	10646	0
Olfr993	chr2	85413933	85414877	-	945	0
Gm23716	chr2	85420137	85420280	+	144	0
Olfr994	chr2	85429380	85436451	-	7072	0
Olfr995	chr2	85437528	85443639	-	6112	0
Fads2b	chr2	85483594	85519024	-	35431	0
Olfr996	chr2	85579215	85580282	+	1068	0
Olfr997-ps1	chr2	85585104	85586042	+	939	0
Olfr998	chr2	85588948	85591893	+	2946	0
Olfr999-ps1	chr2	85601769	85602717	-	949	0
Olfr1000	chr2	85607037	85611903	-	4867	0
Olfr1001-ps1	chr2	85633431	85634375	+	945	0
Olfr1002	chr2	85646057	85650704	-	4648	0
Olfr1003-ps1	chr2	85653334	85654050	+	717	0
Olfr1004-ps1	chr2	85656256	85656835	-	580	0
Olfr154	chr2	85663377	85664455	-	1079	0
Olfr1005-ps1	chr2	85669822	85672240	+	2419	0
Olfr1006	chr2	85673657	85678767	-	5111	0
Olfr1007-ps1	chr2	85683262	85683399	+	138	0
Olfr1008	chr2	85689431	85690372	+	942	0
Olfr1009	chr2	85715419	85725136	+	9718	0
Olfr1010	chr2	85748352	85754526	+	6175	0
Olfr1012	chr2	85757353	85762766	-	5414	0
Olfr1013	chr2	85767098	85774649	+	7552	0
Olfr1014	chr2	85772713	85778974	+	6262	0
Gm49332	chr2	85777918	85778146	+	229	0
Olfr1015	chr2	85782017	85787812	+	5796	0
Olfr1016	chr2	85797618	85802544	-	4927	0
Olfr1017-ps1	chr2	85808317	85808980	-	664	0
Gm13720	chr2	85816013	85816208	-	196	0
Olfr1018	chr2	85818479	85824221	+	5743	0
Olfr1019	chr2	85839621	85845483	-	5863	0
Olfr1020	chr2	85847030	85851794	+	4765	0
Olfr1021-ps1	chr2	85858928	85864364	+	5437	0
Olfr1022	chr2	85868594	85869541	+	948	0
Gm24037	chr2	85885155	85885334	-	180	0
Olfr1023	chr2	85885640	85891213	+	5574	0
Gm40020	chr2	85898910	85900544	-	1635	0
Olfr1024	chr2	85904069	85905052	-	984	0
Olfr1025-ps1	chr2	85915193	85921381	+	6189	0
Olfr1026	chr2	85921558	85924623	+	3066	0
Olfr1027-ps1	chr2	85932145	85933438	+	1294	0
Olfr1028	chr2	85950437	85953910	+	3474	0
